[image];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Hipódromo de Son Pardo 01-02-17
5250€ en premios: 2.416 al 1º, 1.208 al 2º, 630 al 3º, 368 al 4º, 262 al 5º, 210 al 6º, 156 al 7º;;;;;;De 5 y más años, nacionales de 10.000 / 17.999,99€.;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.AbsR.Dist;;CLASIF.;ULTIMA CARRERA
Quadra Si Ho Se;1;CELEBRITY SB;;J. A. RIERA;J. J. Miquel;2650;Ec5;From Above (se)-Amazzonia Ambrosio (de);12.357;1.17.4;1182;3-1(16)-5-6-4-0;18.01.17-3-SP-2150-A-1.18.9-M. RUBIO
Rafael Amengual Fiol;2;VIKINGO JUNIOR;;G. RIERA;Mª. F. Sureda;2650;Cc8;Vikingo-Nannsong Tara Gs;12.161;1.17.8;1185;0-D-0(16)-0-6-0;25.01.17-0-SP-2650-A-0-G. RIERA
Cuadras Son Sama;3;BUFALO SS;;F. J. MARTI;F. J. Marti;2650;Cc6;C Super Chancen (dk)-Nilda Biniati;10.994;1.17.8;1190;7-4-4(16)-0-6-0;25.01.17-7-SP-2650-A-1.19.1-F. J. MARTI
Catalina Mesquida Barrera;4;BAMBI GR;;B. PASTOR M.;J. Pastor;2650;Cc6;Leo Josselyn (fr)-Bell-one (dk);13.825;1.17.8;1182;3-D(16)-6-0-7-D;25.01.17-3-SP-2650-A-1.19.0-J. PASTOR
Cuadra Xisco Morey;5;SAN PELLEGRINO MIXO;;P. SEBASTIA E.;J. C. Minuesa;2650;Cc11;San Pellegrino (us)-Reggae Dance (se);13.254;1.16.9;1185;0-0-6(16)-0-4-5;25.01.17-0-SP-2650-A-0-P. SEBASTIA E.
Cuadra Son Baco;6;BAMBI;D4;D. OLIVER;S. Rigo A.;2650;Ec6;Ganymede (fr)-Jaina De Font;17.628;1.16.7;1182;5(16)-6-0-D-1-1;25.01.17-5-SP-2650-A-1.18.8-D. OLIVER
Quadres Valls Rullan;7;CAPRITXOS;DA;A. VALLS;A. Valls;2650;Cc5;Universal-Just Alone (nl);16.624;1.17.0;1179;4-7-4(16)-4-1-0;25.01.17-4-SP-2650-A-1.18.4-A. VALLS
Cuadra Si No Fos;8;BELLA DE NIT;;C. VELASCO;A. Carreras;2650;En6;Nardon Df Ia-Serena The Fireman;15.289;1.16.1;1186;1-3-2(16)-0-0-D;18.01.17-1-SP-2150-A-1.18.7-C. VELASCO
Cuadra Sa Marina Slu;9;CRIS EVER JS;;M. MESTRE;F. J. Sagrera R.;2650;Ec5;Amadeus Om (it)-Vignola Om(it);13.458;1.17.5;1181;5-2-1(16)-0-0-6;25.01.17-5-SP-2150-A-1.18.1-G. ANDREU
Cuadra Cas Menut;10;ALEGRIA LOVE;;J. FLUXA;M. A. Salom;2650;Ec7;Musigny Degato (se)-Egara Kid Gs;10.475;1.17.7;1190;0-6-5(16)-0-0-6;25.01.17-0-SP-2650-A-0-J. FLUXA
Cuadra Rigo Ll;11;BROOKLYN SPA;;J. RIGO LL.;M. Fluxa S.;2650;Cc6;Uronometro (it)-Simpatica Spa;13.720;1.17.0;1182;1-5-D(16)-3-D-4;25.01.17-1-SP-2650-A-1.18.5-J. RIGO LL.
Juan Manuel Cuadros Perez;12;BRAD PITT SB;D4;A. FRONTERA;A. Frontera;2650;Cc6;Never More (fr)-Amazzonia Ambrosio (de);15.911;1.15.0;1182;6(16)-5-0-3-D-0;11.01.17-6-SP-2150-A-1.17.0-A. FRONTERA
Hermanos Guardiola;13;UNA MIXO;;C. RIERA M. (AP);J. Guardiola M.;2650;Ec9;S J's Photo (us)-Bamboo A.c. (it);16.313;1.16.7;1182;0(16)-0-R-0-0-0;18.01.17-0-SP-2650-A-0-C. RIERA M.
Cuadra Ladil;14;BONA D'ORKI;;F. BENNASAR;F. Bennasar;2650;Ec6;C Super Chancen (dk)-Orki B;15.237;1.16.9;1196;D-D-D(16)-R-1-D;25.01.17-D-SP-2650-A-0-S. POCOVI
;;;;;;;;;;;;;[image]
