Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 27-01-2021;Column18;Column19;Column20
Cuadras Cafe 1990;;10;;ECHO DE LARRE (FR);;M. MATAMALAS;M. Genovart A.;;2650 Cc7;;Echo (fr)-Sonnette Mika (fr);;154.854;1.13.6;;0(20)-2-0;06.01.21-0-SP-2650-A-0-M. MATAMALAS;;
Quadra Qualitrot;;11;E1;BOSS D'OURVILLE (FR);;J. RIERA S.;A. Vaquer S.;;2650 Cc10;;Quaro (fr)-Oslo Du Pommeau (fr);;134.314;1.13.2;1.15.7;6(20)-4-0-1-7-5;06.01.21-6-SP-2650-A-1.16.7-M. RIERA B.;;
Hermanos Fluxa-gomila;;12;;VIPITENO (FR);;Jme. FLUXA;M. Fluxa S.;;2650 Cc12;;Love You (fr)-Prune Rouge (fr);;149.408;1.11.4;1.15.4;(20)-2-D-0-1-5-4;30.12.20-2-SP-2150-A-1.16.2-Jme. FLUXA;;
5ª CARRERA;;;;Premi BRIXON DE FRANCE;;;;;;;;;;;;;;A las 12:15;
Al Trote Enganchado;;;;Distancia 1.650m.;;PLACA AZUL - NUMERO BLANCO;;;Matrícula 38€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;;Autostart
;;;;5000€ en premios: 2.300 al 1º, 1.150 al 2º, 600 al 3º, 350 al 4º, 250 al 5º, 200 al 6º, 150 al 7º;;De 4 años, nacionales de llibre inscripción.;;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;;
Cuadra Tot Un Somni;;1;;HILLARIOUS DREAM;DA;J. BAUZA B.;J. A. Hernandez N.;;1650 Ec4;;Infinitif (it)-Tout Un Reve;;9.572;1.16.2;;(20)-0-4-2-1-1-4;23.12.20-0-SP-2650-A-0-J. BAUZA B.;;
Scuderia Toscana;;2;;HEREVA DE LLEVANT;D4;J. FORTEZA R.;A. Frontera;;1650 En4;;Panne De Moteur (se)-Sal De Llevant;;6.770;1.16.1;;4(20)-3-2-1-1-2;13.01.21-4-SP-2150-A-1.17.1-J. FORTEZA R.;;
Cuadra Can Fonoll;;3;;HURACAN DE FONT;D4;A. VALLS;A. Prats E.;;1650 Cc4;;From Above (se)-Bruixa De Font;;8.341;1.16.4;1.18.6;(20)-7-4-4-4-5-3;30.12.20-7-SP-2650-A-1.18.0-A. VALLS;;
Cuadra Toni I Joan;;4;;HAIZE ABOVE;;Jme. FLUXA;A. Janer R.;;1650 Ec4;;From Above (se)-Genova;;5.268;1.16.4;1.25.2;7-3(20)-6-3-4-5;13.01.21-7-SP-2150-A-1.17.3-A. VALLS;;
Cuadra Kolev;;5;;HECTOR;DA;J. FLUXA;I. Nikolov;;1650 Cc4;;Royal De Perthuis (fr)-Olaya Gowan;;6.384;1.16.4;1.25.4;2(20)-0-4-0-D-5;13.01.21-2-SP-2150-A-1.17.0-J. FLUXA;;
Cuadra Son Mas Vell;;6;E1;HIGORAIL;D4;B. MASCARO;J. A. Garcia;;1650 Cn4;;Igor Font (it)-Nashville Font (it);;3.406;1.17.7;1.20.4;D-2(20)-4-1-7-3;13.01.21-D-SP-2150-A-0-B. MASCARO;;
Cuadra Es Pou Florit S.l.;;7;;HELEN LLINARITX;;G. RIERA;G. Riera;;1650 Ec4;;Tambor-Cris Llinaritx;;16.193;1.16.2;1.21.3;4(20)-1-0-7-5-2;17.01.21-4-MN-2375-A-1.18.2-G. RIERA;;
Cuadra Son Blai;;8;;HARAJAH BLAI;;A. FRONTERA;A. Frontera;;1650 En4;;Maharajah (se)-Selena Blai;;9.048;1.15.7;;3(20)-0-2-1-D-D;06.01.21-3-SP-2650-A-1.17.5-A. FRONTERA;;
Cuadra Son Mas Vell;;9;E1;HALCON RAPIDE;;G. ANDREU;P. Mesquida R. Ii;;1650 Cc4;;Daguet Rapide (it)-Neve Del Rio (it);;24722;1.16.5;1.17.1;3(20)-0-5-2-5-2;17.01.21-3-MN-2375-A-1.18.8-G. ANDREU;;
;;;;;;;;;;;;;;;;;[image];;
