2_29-12-2013,2,16,7,9.0,6.0,14.0,15.0,0.0,8.0,3.0,10.0,12.0,5.0,13.0,4.0,11.0,1.0,,,
2_3-06-2016,2,1,7,3.0,5.0,0.0,6.0,4.0,,,,,,,,,,,,
2_3-09-2016,4,0,1,3.0,6.0,5.0,2.0,,,,,,,,,,,,,
2_3-12-2017,1,7,0,3.0,8.0,2.0,4.0,6.0,5.0,9.0,,,,,,,,,,
2_30-03-2014,0,7,1,3.0,5.0,6.0,2.0,4.0,8.0,,,,,,,,,,,
2_30-05-2021,1,4,6,0.0,5.0,9.0,2.0,11.0,8.0,10.0,7.0,3.0,,,,,,,,
2_30-09-2012,9,10,3,4.0,19.0,2.0,8.0,12.0,11.0,5.0,7.0,13.0,18.0,16.0,15.0,0.0,1.0,6.0,14.0,17.0
2_30-09-2018,3,7,8,6.0,5.0,4.0,2.0,1.0,0.0,,,,,,,,,,,
2_31-03-2019,1,9,6,0.0,7.0,10.0,12.0,3.0,2.0,4.0,11.0,5.0,8.0,,,,,,,
2_4-07-2019,3,1,2,0.0,4.0,,,,,,,,,,,,,,,
2_4-11-2018,7,2,5,1.0,3.0,6.0,0.0,4.0,,,,,,,,,,,,
2_5-02-2017,7,9,0,4.0,1.0,2.0,5.0,3.0,6.0,8.0,11.0,10.0,,,,,,,,
2_5-06-2016,8,0,4,6.0,5.0,7.0,3.0,1.0,2.0,,,,,,,,,,,
2_7-07-2014,0,2,5,4.0,3.0,1.0,7.0,6.0,,,,,,,,,,,,
2_7-09-2014,4,2,6,5.0,0.0,3.0,1.0,7.0,,,,,,,,,,,,
2_9-04-2017,3,1,8,2.0,9.0,5.0,7.0,4.0,10.0,6.0,0.0,,,,,,,,,
2_9-06-2019,8,6,0,1.0,3.0,5.0,4.0,2.0,7.0,,,,,,,,,,,
3_01-07-2021,7,6,2,0.0,5.0,3.0,1.0,4.0,,,,,,,,,,,,
3_01-08-2013,1,4,3,6.0,8.0,2.0,0.0,5.0,7.0,,,,,,,,,,,
3_01-11-2015,6,0,7,2.0,3.0,5.0,1.0,4.0,,,,,,,,,,,,
3_03-07-2016,3,7,5,8.0,6.0,1.0,0.0,4.0,2.0,,,,,,,,,,,
3_03-08-2012,3,10,2,1.0,0.0,7.0,8.0,6.0,9.0,4.0,5.0,,,,,,,,,
3_04-05-2014,0,8,6,5.0,2.0,4.0,3.0,9.0,7.0,1.0,,,,,,,,,,
3_04-08-2016,4,5,2,0.0,1.0,6.0,3.0,7.0,,,,,,,,,,,,
3_04-10-2015,9,6,3,5.0,8.0,0.0,7.0,2.0,10.0,4.0,1.0,,,,,,,,,
3_04-12-2011,12,8,9,6.0,4.0,3.0,15.0,7.0,18.0,14.0,5.0,13.0,2.0,11.0,16.0,0.0,17.0,1.0,10.0,
3_05-05-2016,5,7,1,4.0,6.0,0.0,3.0,2.0,,,,,,,,,,,,
3_05-06-2021,3,9,8,1.0,0.0,2.0,6.0,4.0,10.0,11.0,5.0,7.0,,,,,,,,
3_05-07-2020,7,2,3,9.0,12.0,8.0,5.0,6.0,1.0,13.0,11.0,10.0,4.0,0.0,,,,,,
3_05-08-2011,10,11,8,2.0,9.0,6.0,7.0,4.0,1.0,3.0,0.0,5.0,,,,,,,,
3_05-09-2013,7,4,6,5.0,3.0,8.0,1.0,2.0,0.0,,,,,,,,,,,
3_05-11-2015,1,3,4,7.0,5.0,6.0,2.0,0.0,,,,,,,,,,,,
3_07-06-2020,2,0,4,1.0,3.0,11.0,5.0,7.0,9.0,6.0,8.0,10.0,12.0,,,,,,,
3_08-01-2012,4,1,12,5.0,6.0,3.0,8.0,2.0,13.0,7.0,11.0,9.0,10.0,0.0,,,,,,
3_08-05-2016,5,7,6,2.0,0.0,8.0,1.0,3.0,9.0,4.0,,,,,,,,,,
3_08-06-2014,4,5,3,2.0,9.0,7.0,6.0,1.0,10.0,12.0,0.0,11.0,8.0,,,,,,,
3_09-10-2011,5,12,4,7.0,6.0,3.0,9.0,0.0,14.0,1.0,11.0,2.0,13.0,8.0,10.0,,,,,
3_1-04-2018,0,5,11,2.0,1.0,13.0,3.0,10.0,4.0,6.0,12.0,7.0,8.0,9.0,14.0,,,,,
3_1-08-2016,2,1,5,6.0,3.0,0.0,4.0,,,,,,,,,,,,,
3_1-08-2019,8,6,2,4.0,5.0,1.0,3.0,7.0,0.0,,,,,,,,,,,
3_1-09-2014,4,0,6,1.0,5.0,2.0,3.0,,,,,,,,,,,,,
3_10-01-2016,4,7,6,2.0,8.0,9.0,3.0,1.0,0.0,5.0,,,,,,,,,,
3_10-08-2014,3,13,0,12.0,11.0,1.0,4.0,2.0,7.0,5.0,8.0,9.0,10.0,6.0,,,,,,
3_10-09-2016,10,11,0,7.0,1.0,4.0,2.0,6.0,5.0,9.0,3.0,12.0,8.0,,,,,,,
3_11-04-2021,6,0,2,1.0,5.0,4.0,3.0,,,,,,,,,,,,,
3_11-07-2016,2,5,3,4.0,1.0,0.0,,,,,,,,,,,,,,
3_11-08-2016,3,4,12,9.0,11.0,5.0,1.0,8.0,2.0,10.0,6.0,0.0,7.0,,,,,,,
3_11-09-2011,5,8,7,4.0,9.0,0.0,10.0,6.0,2.0,3.0,1.0,,,,,,,,,
3_12-08-2011,10,3,0,2.0,7.0,4.0,6.0,8.0,9.0,1.0,5.0,,,,,,,,,
3_12-08-2012,9,7,5,3.0,11.0,6.0,1.0,12.0,10.0,0.0,4.0,2.0,14.0,8.0,13.0,,,,,
3_12-08-2018,7,2,3,6.0,4.0,0.0,8.0,5.0,1.0,,,,,,,,,,,
3_13-01-2013,2,8,0,3.0,10.0,7.0,6.0,5.0,4.0,9.0,1.0,,,,,,,,,
3_13-03-2016,6,0,9,3.0,10.0,4.0,11.0,8.0,12.0,7.0,1.0,5.0,2.0,,,,,,,
3_14-05-2017,1,7,5,4.0,0.0,2.0,10.0,13.0,12.0,9.0,3.0,8.0,6.0,11.0,,,,,,
3_14-07-2011,10,5,13,11.0,2.0,8.0,0.0,12.0,1.0,9.0,4.0,6.0,7.0,3.0,,,,,,
3_14-07-2016,10,5,2,0.0,4.0,9.0,6.0,8.0,7.0,1.0,3.0,,,,,,,,,
3_15-01-2012,0,2,7,5.0,6.0,3.0,4.0,1.0,,,,,,,,,,,,
3_15-04-2012,10,5,12,7.0,2.0,1.0,3.0,11.0,6.0,13.0,8.0,4.0,9.0,0.0,,,,,,
3_15-08-2011,14,12,0,9.0,15.0,3.0,10.0,11.0,6.0,1.0,13.0,2.0,16.0,5.0,7.0,4.0,8.0,,,
3_15-08-2012,0,1,7,3.0,4.0,2.0,6.0,5.0,,,,,,,,,,,,
3_16-02-2014,9,2,1,6.0,5.0,7.0,11.0,8.0,3.0,10.0,0.0,4.0,,,,,,,,
3_16-03-2014,5,4,7,1.0,2.0,0.0,3.0,6.0,,,,,,,,,,,,
3_16-04-2017,3,8,11,2.0,13.0,7.0,6.0,10.0,9.0,12.0,4.0,5.0,1.0,0.0,,,,,,
3_16-05-2021,2,3,4,1.0,6.0,7.0,5.0,0.0,,,,,,,,,,,,
3_16-06-2021,4,1,5,3.0,8.0,7.0,2.0,0.0,6.0,,,,,,,,,,,
3_16-09-2012,9,6,3,1.0,0.0,5.0,8.0,7.0,10.0,2.0,4.0,,,,,,,,,
3_16-10-2016,4,13,5,14.0,0.0,1.0,12.0,7.0,8.0,11.0,10.0,2.0,9.0,3.0,6.0,,,,,
3_17-01-2016,7,4,2,8.0,1.0,3.0,9.0,6.0,5.0,0.0,,,,,,,,,,
3_17-04-2011,10,6,8,12.0,0.0,14.0,3.0,13.0,1.0,2.0,7.0,11.0,4.0,5.0,9.0,,,,,
3_17-06-2012,9,2,16,6.0,14.0,8.0,7.0,4.0,13.0,10.0,3.0,11.0,5.0,12.0,0.0,15.0,1.0,,,
3_17-06-2020,1,8,0,6.0,7.0,5.0,3.0,4.0,2.0,,,,,,,,,,,
3_17-07-2014,3,5,0,7.0,6.0,8.0,9.0,2.0,4.0,1.0,,,,,,,,,,
3_17-09-2017,11,9,10,14.0,16.0,12.0,8.0,0.0,5.0,6.0,13.0,18.0,1.0,3.0,17.0,4.0,7.0,2.0,15.0,
3_17-09-2020,3,4,1,5.0,2.0,0.0,,,,,,,,,,,,,,
3_18-08-2013,2,0,1,6.0,4.0,5.0,3.0,,,,,,,,,,,,,
3_18-12-2011,6,0,1,7.0,8.0,9.0,2.0,5.0,4.0,3.0,,,,,,,,,,
3_19-01-2014,6,13,8,1.0,3.0,10.0,4.0,12.0,0.0,2.0,11.0,5.0,9.0,7.0,,,,,,
3_19-01-2020,5,7,1,3.0,2.0,0.0,4.0,6.0,,,,,,,,,,,,
3_19-02-2012,0,3,4,13.0,1.0,7.0,10.0,11.0,5.0,6.0,2.0,14.0,8.0,12.0,15.0,9.0,,,,
3_19-03-2017,6,8,3,4.0,5.0,1.0,9.0,7.0,2.0,0.0,,,,,,,,,,
3_19-08-2012,7,3,1,4.0,0.0,6.0,2.0,5.0,,,,,,,,,,,,
3_19-10-2014,4,1,13,15.0,16.0,7.0,9.0,12.0,10.0,14.0,3.0,0.0,11.0,8.0,5.0,6.0,2.0,,,
