2_31-08-2015,AIL NEUK,6,4.0,63.0,SRTA.PEREZ.C,ELSABLE,E.PUENTE,8,HIPODROMO DE SAN SEBASTIAN,2000,HIERBA
2_29-08-2016,AIL NEUK,5,5.0,56.0,V.JANACEK,ELSABLE,E.PUENTE,1,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
1_3-09-2016,AIL NEUK,1,5.0,53.5,V.JANACEK,ELSABLE,E.PUENTE,3,HIPODROMO DE SAN SEBASTIAN,2200,HIERBA
4_22-10-2015,AIL NEUK,8,4.0,54.0,A.G.DELGADO,ELSABLE,E.PUENTE,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2200,ARENA
1_10-08-2014,AIL NEUK,2,3.0,55.5,G.MADERO,EVA,A.IMAZ.C,5,HIPODROMO DE SAN SEBASTIAN,2000,HIERBA
5_1-09-2014,AIL NEUK,5,3.0,55.5,G.MADERO,EVA,A.IMAZ.C,5,HIPODROMO DE SAN SEBASTIAN,2200,HIERBA
5_7-07-2014,AIL NEUK,5,3.0,53.0,G.MADERO,EVA,A.IMAZ.C,6,HIPODROMO DE SAN SEBASTIAN,2200,HIERBA
4_01-07-2021,AINE,8,3.0,54.5,C.A.LOAIZA,JIMENEZ,J.JIMENEZ,10,HIPODROMO LA ZARZUELA,1900,ARENA-FIBRA
1_14-2-2021,AINE,3,3.0,54.5,M.MONCEAUX,JIMENEZ,J.JIMENEZ,1,HIPODROMO LA ZARZUELA,1900,ARENA-FIBRA
3_9-04-2017,AIR NYGER (GB),9,4.0,52.0,E.ARGUINZONES,ALISARES,F.PEREZ,13,HIPODROMO LA ZARZUELA,2400,ARENA-FIBRA
2_5-06-2016,AIR NYGER (GB),7,3.0,57.5,G.MADERO,ALISARES,F.PEREZ,9,HIPODROMO LA ZARZUELA,2000,HIERBA
3_16-10-2016,AIR NYGER (GB),6,3.0,56.0,I.BORREGO,ALISARES,F.PEREZ,9,HIPODROMO LA ZARZUELA,2100,HIERBA
5_21-07-2016,AIR NYGER (GB),7,3.0,56.5,M.GOMES,ALISARES,F.PEREZ,11,HIPODROMO LA ZARZUELA,1900,ARENA-FIBRA
2_10-04-2016,AIR NYGER (GB),5,3.0,57.0,R.C.MONTENEGRO,ALISARES,A.IMAZ.C,7,HIPODROMO LA ZARZUELA,2100,HIERBA
3_30-10-2016,AIR NYGER (GB),6,3.0,61.0,R.SOUSA,ALISARES,F.PEREZ,1,HIPODROMO LA ZARZUELA,1800,HIERBA
2_25-05-2017,AIR NYGER (GB),4,4.0,60.5,SR.CARMENA.M,ALISARES,F.PEREZ,3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,ARENA
4_01-01-2017,AIR NYGER (GB),2,4.0,57.0,SR.MELGAREJO.I,ALISARES,F.PEREZ,11,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
2_19-02-2017,AIR NYGER (GB),3,4.0,57.0,SR.MELGAREJO.I,ALISARES,F.PEREZ,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
3_2-10-2016,AIR NYGER (GB),6,3.0,56.0,V.JANACEK,ALISARES,F.PEREZ,5,HIPODROMO LA ZARZUELA,1600,HIERBA
2_11-09-2011,AKA BAY (FR),9,7.0,56.0,M.BORREGO,TALBOT,E.OLGADO,7,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
3_15-08-2011,AKA BAY (FR),12,7.0,58.0,M.BORREGO,TALBOT,E.OLGADO,14,HIPODROMO DE SAN SEBASTIAN,1500,HIERBA
3_28-08-2011,AKA BAY (FR),4,7.0,60.0,M.BORREGO,TALBOT,E.OLGADO,1,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
3_31-07-2011,AKA BAY (FR),6,7.0,59.0,M.BORREGO,TALBOT,E.OLGADO,8,HIPODROMO DE SAN SEBASTIAN,1600,HIERBA
1_14-02-2016,AKERON ONE (GB),6,5.0,59.0,R.H.HUAYAS,RHO,R.HUAYAS,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
